id,name,tourney,hgames,goals,assists,points
9,Zack Fountain,Dew Cup V,6,15,11,26
3,Rick Bonis,Dew Cup V,6,11,11,22
37,Mitchell Zale,Dew Cup V,5,7,7,14
1,Sven Goose,Dew Cup V,5,6,6,12
2,Buddy Wood,Dew Cup V,5,3,9,12
35,Charles Eckert,Dew Cup V,6,7,4,11
20,BB Pfaff,Dew Cup V,5,5,6,11
8,Deer Hunt,Dew Cup V,4,7,4,11
14,Ethan Schickert,Dew Cup V,6,3,7,10
40,Pesky Wick,Dew Cup V,6,6,4,10
36,Coop y,Dew Cup V,5,2,8,10
27,Capn Bartz,Dew Cup V,6,4,5,9
12,Pesky Zub,Dew Cup V,5,5,4,9
13,Garry Bob,Dew Cup V,5,3,6,9
24,Lauren McCormack,Dew Cup V,5,5,4,9
6,Matt Huinker,Dew Cup V,6,4,3,7
15,Brock Deist,Dew Cup V,5,4,3,7
49,Kayla Carmichael,Dew Cup V,5,3,3,6
48,Casey Winter,Dew Cup V,5,3,2,5
42,Hunt Sr.,Dew Cup V,4,2,2,4
10,Hoag Braun,Dew Cup V,5,2,1,3
